INPUT ADDRESS	TRACT CODE	BLOCK CODE
3000 S Lawndale Ave	301702	1006
1119 E 46th St	390200	1006
2236 N Rockwell St	221400	1005
12302 S State St	530502	1000
9301 S State St	490300	2011
6835 S Normal Blvd	681200	3013
7316 S Hoyne Ave	672000	4008
11220 S Wallace St	491200	3013
4436 S Union Ave	842600	4008
2345 S Christiana Ave	300800	1019
3730 N Laramie Ave	150700	2000
2245 W Jackson Blvd	838000	1026
3939 W 79th St	700401	2009
12810 S Escanaba Ave	550200	1025
5110 N Damen Ave	40402	2002
5120 N Winthrop Ave	31200	3001
7424 S Morgan St	681400	3012
5134 S Lotus Ave	560700	2010
3223 W Franklin Blvd	836700	1031
3545 W Fulton Blvd	836800	1018
5815 S Homan Ave	630900	2004
4034 W 56th St	620300	1002
4338 W Wabansia Ave	230500	2003
8147 S Vincennes Ave	842400	3036
4929 N Sawyer Ave	140200	1008
4950 N Avers Ave	140302	1002
138 W 109th St	491000	2002
9510 S Prospect Ave	720200	1002
2701 S Shields Ave	340300	1022
4416 N Troy St	140800	4013
2015 S Peoria St	310300	1034
3456 W 38th St	580300	1010
3202 W 28th St	840800	1017
8445 S Kolin Ave	700302	2006
6650 S Ellis Ave	420800	2015
9101 S Euclid Ave	480400	5007
2300 W 64th St	660700	1003
4414 S Evans Ave	836000	3014
2216 W Hirsch St	241200	1006
3400 N Austin Ave	171100	1012
4747 S Bishop St	611200	1002
821 E 103rd St	500200	1000
10330 S Elizabeth St	730700	2017
2150 S Laflin St	310700	1020
4355 N Linder Ave	150300	6015
1147 N Western Ave	242400	1001
13100 S Doty Ave		
3715 W Polk St	270500	1038
2501 W Addison St	843700	1018
8524 S Green St	711000	2014
5450 W 64th Pl	640700	4016
4420 S Sacramento Ave	580502	2008
4343 W Wrightwood Ave	200200	2004
5515 S Lowe Ave	834700	3007
247 W 23rd Pl	841100	2017
4136 S California Ave	580501	2008
2347 S Wabash Ave	841000	1028
6140 S Melvina Ave	640300	6018
4015 N Ashland Ave	60100	3006
10810 S Avenue H	520500	1002
8344 S Commercial Ave	460302	3000
6325 W 56th St	561100	6006
2851 N Seminary Ave	62900	2002
1650 W Cornelia Ave	831900	2014
9239 S Jeffery Ave	480400	4004
2941 N McVicker Ave	190401	2000
